127.0.0.1 - - [07/Aug/2024:19:30:57 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:31:04 -0300] "GET /OlaMundo/exercicio01.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:31:04 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:32:29 -0300] "GET /OlaMundo/exercicio01.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:35:22 -0300] "GET /OlaMundo/exercicio01.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:35:22 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:03 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:40 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:41 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:42 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:52 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:52 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:53 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:43:54 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:44:13 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:44:37 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:53:12 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:19:54:33 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:00:26 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:00:26 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:11:44 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:11:57 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:12:02 -0300] "GET /OlaMundo/fibonacci.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:14:45 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:14:46 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:14:49 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:15:31 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:15:31 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:19:02 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:19:04 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:19:05 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:19:12 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:22:43 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:23:30 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:23:31 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:25:12 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:25:14 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:30 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:33 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:38 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:39 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:41 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:43 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:26:44 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:28:37 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [07/Aug/2024:20:28:38 -0300] "GET /OlaMundo/deposito.jsp HTTP/1.1" 200 263
